거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층,date
17900,1999,2018,누상동,청호그린빌,1,19,29.76,40,11110,4,201801
17900,1999,2018,누상동,청호그린빌,1,19,29.76,40,11110,3,201801
110000,2008,2018,사직동,광화문풍림스페이스본(101동~105동),1,9,146.92,9,11110,9,201801
89000,2008,2018,사직동,광화문풍림스페이스본(101동~105동),1,22,94.51,9,11110,6,201801
85000,2008,2018,사직동,광화문풍림스페이스본(101동~105동),1,23,95.88,9,11110,2,201801
100000,2008,2018,사직동,광화문풍림스페이스본(101동~105동),1,24,108.55,9,11110,1,201801
85000,2008,2018,사직동,광화문풍림스페이스본(101동~105동),1,25,94.51,9,11110,3,201801
91000,2008,2018,사직동,광화문풍림스페이스본(101동~105동),1,27,94.51,9,11110,13,201801
132000,2008,2018,사직동,광화문풍림스페이스본(101동~105동),1,30,147.31,9,11110,6,201801
85000,2008,2018,사직동,광화문풍림스페이스본(101동~105동),1,30,94.51,9,11110,5,201801
66000,1983,2018,당주동,세종,1,18,104.73,100,11110,3,201801
130000,2004,2018,내수동,경희궁의아침2단지,1,13,140.78,71,11110,15,201801
96000,2003,2018,내수동,경희궁 파크팰리스,1,19,103.77,95,11110,5,201801
118000,2004,2018,내수동,경희궁의아침3단지,1,23,123.13,72,11110,10,201801
54500,1994,2018,내수동,세종로대우,1,30,66.96,167,11110,13,201801
64000,1994,2018,내수동,세종로대우,1,31,76.66,167,11110,11,201801
29000,2003,2018,익선동,현대뜨레비앙,1,6,46.64,55,11110,5,201801
23500,2003,2018,익선동,현대뜨레비앙,1,24,36.08,55,11110,6,201801
51000,2006,2018,인의동,효성쥬얼리시티,1,4,84.7,48-2,11110,11,201801
19000,2017,2018,효제동,포레스트힐시티,1,13,15.879000000000001,65-2,11110,10,201801
22000,1999,2018,동숭동,동성아파트(2동),1,30,59.34,4-157,11110,3,201801
73000,1995,2018,명륜2가,아남1,1,25,84.9,4,11110,10,201801
39500,1992,2018,창신동,창신쌍용1,1,5,54.7,702,11110,8,201801
46000,1992,2018,창신동,창신쌍용1,1,5,79.87,702,11110,3,201801
38000,1992,2018,창신동,창신쌍용1,1,6,54.7,702,11110,3,201801
52200,1993,2018,창신동,창신쌍용2,1,8,106.62,703,11110,12,201801
39000,1973,2018,창신동,동대문맨션,1,10,89.55,578-5,11110,3,201801
35000,1999,2018,창신동,두산,1,12,59.95,232,11110,6,201801
33800,1993,2018,창신동,창신쌍용2,1,13,64.66,703,11110,2,201801
32000,1993,2018,창신동,창신쌍용2,1,13,54.7,703,11110,1,201801
51000,1999,2018,창신동,두산,1,16,59.95,232,11110,14,201801
36700,1993,2018,창신동,창신쌍용2,1,20,64.66,703,11110,3,201801
38000,1993,2018,창신동,창신쌍용2,1,20,64.66,703,11110,13,201801
38600,1993,2018,창신동,창신쌍용2,1,20,64.66,703,11110,12,201801
39900,1992,2018,창신동,창신쌍용1,1,20,54.7,702,11110,5,201801
42400,1993,2018,창신동,창신쌍용2,1,26,79.87,703,11110,15,201801
44800,1992,2018,창신동,창신쌍용1,1,27,79.87,702,11110,3,201801
